Tag	Full Name	Flavor Text	IsAugSlot	Major Group	Sub Group	Protector	Surgical Parent
BArmLU	Left Humerus	Sets the cap for left arm press force.	0	SKELETAL	LEFT ARM	Left Upper Arm	Left Upper Arm
BArmRF	Right Radius and Ulna	Sets the cap for right arm press force.	0	SKELETAL	RIGHT ARM	Right Forearm	Right Forearm
BArmLF	Left Radius and Ulna	Sets the cap for left arm press force.	0	SKELETAL	LEFT ARM	Left Forearm	Left Forearm
BLegRU	Right Femur	Sets the cap for right leg squat force and carrying capacity.	0	SKELETAL	RIGHT LEG	Right Thigh	Right Thigh
BLegLU	Left Femur	Sets the cap for left leg squat force and carrying capacity.	0	SKELETAL	LEFT LEG	Left Thigh	Left Thigh
BLegRL	Right Tibia and Fibula	Sets the cap for right leg squat force and carrying capacity.	0	SKELETAL	RIGHT LEG	Right Crus	Right Crus
BLegLL	Left Tibia and Fibula	Sets the cap for left leg squat force and carrying capacity.	0	SKELETAL	LEFT LEG	Left Crus	Left Crus
Ribs	Rib Cage	Sets the cap for the press force using both arms. Protects the heart and lungs.	0	SKELETAL	CHEST	None	None
Skull	Skull	Protects all brain components. Can affect threat and charm ratings.	0	SKELETAL	HEAD	None	None
Pelvis	Pelvis	Determines maximum squat force using both legs, and carrying capacity.	0	SKELETAL	ABDOMEN	None	None
Spine	Spine	Determines maximum squat force using both legs, and carrying capacity. Affects agility and reflexes.	0	SKELETAL	CHEST	Rib Cage	None
SpineAug	Spinal Augmentation	Determines maximum squat force using both legs, and carrying capacity. Affects agility and reflexes.	1	SKELETAL	CHEST	Rib Cage	None
ArmRU	Right Upper Arm	Affects right arm press force, and overall agility.	0	OUTER	RIGHT ARM	None	None
ArmLU	Left Upper Arm	Affects left arm press force, and overall agility.	0	OUTER	LEFT ARM	None	None
ArmRF	Right Forearm	Affects right arm press force, grip strength and overall agility.	0	OUTER	RIGHT ARM	None	Right Upper Arm
ArmLF	Left Forearm	Affects left arm press force, grip strength and overall agility.	0	OUTER	LEFT ARM	None	Left Upper Arm
LegRU	Right Thigh	Affects right leg squat force, overall speed and agility.	0	OUTER	RIGHT LEG	None	None
LegLU	Left Thigh	Affects left leg squat force, overall speed and agility.	0	OUTER	LEFT LEG	None	None
LegRL	Right Crus	Affects right leg squat force, overall speed and agility.	0	OUTER	RIGHT LEG	None	Right Thigh
LegLL	Left Crus	Affects left leg squat force, overall speed and agility.	0	OUTER	LEFT LEG	None	Left Thigh
HandR	Right Hand	Sets the cap for grip strength. Affects deftness.	0	OUTER	RIGHT HAND	None	Right Forearm
HandL	Left Hand	Sets the cap for grip strength. Affects deftness.	0	OUTER	LEFT HAND	None	Left Forearm
FootR	Right Foot	Affects speed.	0	OUTER	RIGHT FOOT	None	Right Crus
FootL	Left Foot	Affects speed.	0	OUTER	LEFT FOOT	None	Left Crus
Lungs	Lungs	With the heart, sets the maximum organic load.	0	ORGANS	CHEST	Rib Cage	None
LungAug	Lung Augmentation	With the heart, sets the maximum organic load.	1	ORGANS	CHEST	Rib Cage	Lungs
Vocal	Vocal Cords	Makes diplomacy possible.	0	OUTER	THROAT	Jaw	None
VocalAug	Vocal Cord Augmentation	Affects charm and threat ratings.	1	OUTER	THROAT	Jaw	Vocal Cords
EyeL	Left Eye	Affects spatial sense, visible spectra, distance and detail of vision.	0	OUTER	HEAD	None	None
EyeR	Right Eye	Affects spatial sense, visible spectra, distance and detail of vision.	0	OUTER	HEAD	None	None
Ears	Ears	Affects spatial sense.	0	OUTER	HEAD	None	None
Jaw	Jaw	Can protect the skull and affect charm or threat ratings. Makes diplomacy possible.	0	OUTER	HEAD	None	None
Face	Face	Can affect vision, alertness, charm, threat and reflexes.	0	OUTER	HEAD	None	None
Battery	Battery	Requires a robotic or augmented spine. Determines maximum augmentation load.	0	ORGANS	CHEST	Spine	Spine
